Product_Name,Total_Inventory_Value,Best_Selling_Mark,Discounted_Revenue
Sushi Rice,99.0,False,129.6
Arabica Coffee,900.0,False,1530.0
Black Rice,180.0,False,167.4
Long Grain Rice,18.0,False,128.25
Plum,148.0,False,223.2
All-Purpose Flour,96.25,False,53.55
Corn Oil,240.0,False,150.75
Egg (Goose),110.0,False,47.25
Greek Yogurt,273.0,False,151.2
Egg (Duck),43.0,False,24.3
Long Grain Rice,99.2,True,144.0
White Sugar,182.0,False,180.0
Rye Bread,78.0,False,126.9
Plum,380.0,False,248.4
Strawberries,324.0,False,340.2
Feta Cheese,658.0,False,126.0
Bread Flour,40.5,False,89.1
Swiss Cheese,392.0,False,561.6
Arabica Coffee,1100.0,False,828.0
White Sugar,130.0,False,52.2
Spinach,180.0,False,184.5
Trout,588.0,False,561.6
Green Beans,162.0,False,36.0
Cabbage,88.0,False,65.7
Parmesan Cheese,756.0,False,637.2
Raw Sugar,46.5,False,62.1
Egg (Quail),77.6,False,69.84
Mushrooms,432.0,False,507.6
Oatmeal Biscuit,80.0,False,225.0
Pear,346.5,False,247.05
Cucumber,33.25,False,48.82
Pineapple,63.0,False,132.3
Olive Oil,282.0,False,226.8
Herbal Tea,2310.0,False,675.0
Haddock,414.0,False,526.5
Onion,78.0,False,108.0
Sushi Rice,337.5,False,174.15
Pineapple,165.6,False,158.36
Zucchini,152.5,False,177.75
Short Grain Rice,180.0,False,126.9
Mango,120.0,False,175.5
Lemon,27.6,False,136.62
Black Coffee,1260.0,False,337.5
Butter,153.0,False,108.0
Multigrain Bread,227.5,False,100.8
Long Grain Rice,100.5,False,89.1
Bread Flour,21.0,False,49.95
Kiwi,270.0,False,237.6
Mango,460.0,False,108.0
Sourdough Bread,164.0,False,151.2
Short Grain Rice,184.5,False,153.9
Orange,255.0,False,256.5
Pineapple,149.6,False,293.76
White Bread,230.0,False,137.25
Green Coffee,744.0,False,378.0
Zucchini,65.0,False,128.25
Sourdough Bread,265.5,False,129.6
Orange,255.2,False,164.43
Sardines,546.0,False,162.0
Olive Oil,168.0,False,205.2
Carrot,76.5,False,59.4
Black Tea,230.0,False,288.0
Pear,364.9,False,120.15
Olive Oil,600.0,False,453.6
Ricotta Cheese,306.0,False,291.6
Black Coffee,915.0,False,904.5
White Tea,2475.0,False,2092.5
Cucumber,23.4,False,71.28
Mozzarella Cheese,315.0,False,522.9
Broccoli,292.0,False,169.2
Eggplant,117.0,False,137.7
Trout,348.0,False,918.0
Heavy Cream,48.0,False,72.0
Bell Pepper,427.2,False,296.37
Onion,70.0,False,136.8
Sardines,534.0,False,324.0
Mango,270.0,False,105.3
Arborio Rice,90.0,False,202.5
Potato,33.6,False,32.4
Corn Oil,50.0,False,193.5
Butter Biscuit,228.0,False,361.8
Peas,297.0,False,135.0
Cream,230.0,False,162.0
Spinach,98.4,False,127.44
Sardines,264.0,False,486.0
White Sugar,94.0,False,52.2
Bread Flour,31.5,False,51.3
Cucumber,153.0,False,103.68
Swiss Cheese,232.0,False,424.8
Peanut Oil,256.0,False,183.6
Blueberries,660.0,False,216.0
Chocolate Biscuit,375.0,False,310.5
Cheese,477.0,False,453.6
Palm Oil,77.4,False,53.46
Eggplant,222.0,False,221.4
Garlic,189.0,False,573.3
Jasmine Rice,432.25,False,218.02
Rice Flour,104.0,False,171.0
Zucchini,107.5,False,148.5
Multigrain Bread,179.2,False,192.96
Ricotta Cheese,396.0,False,232.2
Bread Flour,126.0,False,124.2
Cottage Cheese,185.0,False,306.0
Whipped Cream,116.0,False,216.0
Almond Flour,123.5,False,205.2
Lemon,157.5,False,126.0
Tilapia,665.0,False,384.3
Lettuce,116.0,False,95.4
Peanut Oil,228.0,False,201.6
Sardines,198.0,False,529.2
Arabica Coffee,1240.0,False,414.0
Coconut,445.0,False,171.0
Cod,184.0,False,453.6
Banana,5512.08,False,3100.54
Black Rice,524.6,False,439.2
Pomegranate,360.0,False,518.4
Pineapple,245.0,False,138.6
Peach,188.0,False,334.8
Arborio Rice,427.5,False,243.0
Plum,77.0,False,211.36
Sushi Rice,81.7,False,224.46
Arabica Coffee,1554.0,False,1568.7
Pear,274.5,False,97.2
Sourdough Bread,136.0,False,100.8
Pear,130.5,False,125.55
Heavy Cream,58.8,False,105.84
White Rice,36.0,False,100.44
Cauliflower,128.0,False,60.48
Canola Oil,209.3,False,89.01
Avocado Oil,990.0,False,846.0
Bread Flour,51.0,False,66.15
Gouda Cheese,700.0,False,126.0
Black Rice,474.0,False,140.4
Greek Yogurt,186.0,False,135.0
Tuna,450.0,False,583.2
Buttermilk,117.5,False,108.0
Orange,45.0,False,151.2
Pomegranate,114.0,False,318.6
Tuna,1044.0,False,405.0
Sour Cream,44.0,False,302.4
Rice Flour,198.0,False,64.8
Long Grain Rice,39.0,False,102.6
Bell Pepper,315.0,False,93.15
Bell Pepper,225.0,False,279.45
Pineapple,192.5,False,255.15
Cod,248.0,False,295.2
Green Tea,504.0,False,669.6
Sardines,438.0,False,118.8
Sourdough Bread,48.0,False,270.0
Short Grain Rice,159.0,False,118.8
Powdered Sugar,170.0,False,155.25
Swiss Cheese,648.0,False,393.66
Tuna,1656.0,False,648.0
Cucumber,55.8,False,147.42
Eggplant,93.0,False,124.2
Garlic,532.0,False,327.6
Vegetable Oil,114.0,False,160.2
Whipped Cream,368.0,False,154.8
Cheddar Cheese,792.0,False,639.9
Coconut,495.0,False,184.5
